Language;File;X-translated;101%;Repetitions;100%;95% - 99%;85% - 94%;75% - 84%;50% - 74%;No match;Fragments;Total;Weighted Words;Cost Marketing
alb;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1316;10996;61468;0;339;0;0;0;0;0;0;0;0;0;0;0;1;1;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;11;90;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;11008;61570;0;343;0;0;0;0;0.0
ara;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;50;82;221;0;0;0;0;0;645;4667;26780;0;39;0;0;0;42;179;1035;0;18;0;0;0;68;176;1000;0;24;0;0;0;11;115;622;0;3;0;0;0;16;140;820;0;13;0;0;0;157;943;5255;0;96;0;0;0;328;4697;25780;0;146;0;0;0;0;0;0;0;0;0;0;0;1317;10999;61513;0;339;0;0;0;50;10.53
ara;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;50;82;221;0;0;0;0;0;1266;10914;61247;0;339;0;0;0;0;0;0;0;0;0;0;0;1;1;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;50;0;0;0;0;0;2;8;40;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;11008;61570;0;343;0;0;0;50;10.53
bul;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;146;146;697;0;0;0;0;0;567;4607;26355;0;39;0;0;0;5;8;57;0;0;0;0;0;20;32;250;0;16;0;0;0;2;24;128;0;0;0;0;0;8;57;310;0;0;0;0;0;64;324;1703;0;41;0;0;0;505;5801;32013;0;243;0;0;0;0;0;0;0;0;0;0;0;1317;10999;61513;0;339;0;0;0;146;0.0
bul;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;146;146;697;0;0;0;0;0;1170;10850;60771;0;339;0;0;0;0;0;0;0;0;0;0;0;1;1;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;11;90;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;11008;61570;0;343;0;0;0;146;0.0
cze;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;189;476;2440;0;0;0;0;0;558;4572;26224;0;39;0;0;0;54;296;1704;0;30;0;0;0;46;159;863;0;29;0;0;0;24;417;2281;0;30;0;0;0;16;163;905;0;15;0;0;0;131;676;3808;0;76;0;0;0;299;4240;23288;0;120;0;0;0;0;0;0;0;0;0;0;0;1317;10999;61513;0;339;0;0;0;189;0.0
cze;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;191;497;2579;0;0;0;0;0;1126;10500;58903;0;339;0;0;0;1;7;26;0;0;0;0;0;1;1;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;11008;61570;0;343;0;0;0;191;0.0
dan;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;189;476;2440;0;0;0;0;0;558;4572;26224;0;39;0;0;0;59;367;2117;0;30;0;0;0;48;198;1108;0;32;0;0;0;25;427;2342;0;30;0;0;0;15;159;896;0;14;0;0;0;118;611;3430;0;77;0;0;0;305;4189;22956;0;117;0;0;0;0;0;0;0;0;0;0;0;1317;10999;61513;0;339;0;0;0;189;0.0
dan;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;191;497;2579;0;0;0;0;0;1126;10500;58903;0;339;0;0;0;1;7;26;0;0;0;0;0;1;1;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;50;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;11008;61570;0;343;0;0;0;191;0.0
fin;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;190;477;2442;0;0;0;0;0;558;4572;26224;0;39;0;0;0;56;314;1809;0;30;0;0;0;49;183;1003;0;32;0;0;0;26;429;2356;0;30;0;0;0;14;154;872;0;14;0;0;0;110;590;3279;0;80;0;0;0;314;4280;23528;0;114;0;0;0;0;0;0;0;0;0;0;0;1317;10999;61513;0;339;0;0;0;190;0.0
fin;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;192;498;2581;0;0;0;0;0;1125;10499;58901;0;339;0;0;0;1;7;26;0;0;0;0;0;1;1;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;50;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;11008;61570;0;343;0;0;0;192;0.0
gre;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;152;173;800;0;0;0;0;0;561;4583;26265;0;39;0;0;0;37;153;898;0;18;0;0;0;58;224;1221;0;25;0;0;0;14;185;988;0;8;0;0;0;20;179;995;0;14;0;0;0;150;956;5347;0;92;0;0;0;325;4546;24999;0;143;0;0;0;0;0;0;0;0;0;0;0;1317;10999;61513;0;339;0;0;0;152;0.0
gre;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;152;173;800;0;0;0;0;0;1164;10823;60668;0;339;0;0;0;0;0;0;0;0;0;0;0;1;1;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;50;0;0;0;0;0;2;8;40;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;11008;61570;0;343;0;0;0;152;0.0
heb;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;188;464;2372;0;0;0;0;0;558;4572;26224;0;39;0;0;0;48;276;1598;0;30;0;0;0;43;160;883;0;24;0;0;0;25;413;2261;0;32;0;0;0;11;85;479;0;5;0;0;0;123;640;3618;0;76;0;0;0;321;4389;24078;0;133;0;0;0;0;0;0;0;0;0;0;0;1317;10999;61513;0;339;0;0;0;188;0.0
heb;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;190;485;2511;0;0;0;0;0;1127;10512;58971;0;339;0;0;0;1;7;26;0;0;0;0;0;1;1;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;11008;61570;0;343;0;0;0;190;0.0
hrv;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;187;463;2370;0;0;0;0;0;558;4572;26224;0;39;0;0;0;52;282;1639;0;30;0;0;0;43;145;783;0;22;0;0;0;26;439;2412;0;32;0;0;0;10;101;554;0;7;0;0;0;128;663;3719;0;76;0;0;0;313;4334;23812;0;133;0;0;0;0;0;0;0;0;0;0;0;1317;10999;61513;0;339;0;0;0;187;0.0
hrv;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;189;484;2509;0;0;0;0;0;1128;10513;58973;0;339;0;0;0;1;7;26;0;0;0;0;0;1;1;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;50;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;11008;61570;0;343;0;0;0;189;0.0
hun;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;189;476;2440;0;0;0;0;0;558;4572;26224;0;39;0;0;0;54;292;1690;0;30;0;0;0;43;156;844;0;24;0;0;0;24;417;2281;0;30;0;0;0;15;139;786;0;12;0;0;0;123;649;3682;0;74;0;0;0;311;4298;23566;0;130;0;0;0;0;0;0;0;0;0;0;0;1317;10999;61513;0;339;0;0;0;189;0.0
hun;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;191;497;2579;0;0;0;0;0;1126;10500;58903;0;339;0;0;0;1;7;26;0;0;0;0;0;1;1;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;11008;61570;0;343;0;0;0;191;0.0
jpn;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;183;513;2558;0;2;0;0;0;563;4541;26118;0;38;0;0;0;85;719;4085;0;27;0;0;0;87;792;4186;0;34;0;0;0;30;584;3070;0;33;0;0;0;25;289;1520;0;13;0;0;0;137;968;5472;0;79;0;0;0;207;2593;14504;0;113;0;0;0;0;0;0;0;0;0;0;0;1317;10999;61513;0;339;0;0;0;183;0.0
jpn;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;185;534;2697;0;2;0;0;0;1132;10463;58785;0;337;0;0;0;1;7;26;0;0;0;0;0;1;1;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;11008;61570;0;343;0;0;0;185;0.0
kor;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;95;371;1832;0;0;0;0;0;633;4647;26656;0;39;0;0;0;59;367;2116;0;30;0;0;0;64;203;1144;0;28;0;0;0;26;421;2304;0;32;0;0;0;16;155;872;0;17;0;0;0;118;604;3410;0;68;0;0;0;306;4231;23179;0;125;0;0;0;0;0;0;0;0;0;0;0;1317;10999;61513;0;339;0;0;0;95;0.0
kor;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;97;392;1971;0;0;0;0;0;1220;10605;59511;0;339;0;0;0;1;7;26;0;0;0;0;0;1;1;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;11008;61570;0;343;0;0;0;97;0.0
nnb;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;189;476;2440;0;0;0;0;0;558;4572;26224;0;39;0;0;0;58;366;2105;0;30;0;0;0;48;198;1108;0;32;0;0;0;25;427;2342;0;30;0;0;0;14;156;882;0;14;0;0;0;116;607;3372;0;80;0;0;0;309;4197;23040;0;114;0;0;0;0;0;0;0;0;0;0;0;1317;10999;61513;0;339;0;0;0;189;0.0
nnb;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;5.59;0;0;0;0;0;0;0;0;191;497;2579;0;0;0;0;0;1126;10500;58903;0;339;0;0;0;1;7;26;0;0;0;0;0;1;1;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;50;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;11008;61570;0;343;0;0;0;191;0.0
